Наименование;Кол-во;Розница;от 10шт; от 100шт ; от 1000шт ;Размер;Примечание;Примечание
220mkF 100V +105С (Samwha-RD);138;35;30;25;0;13x26mm;+105С;
220mkF 10V +105C (Panasonic EB-A 5000h);778;5;4;3;0;6,3x11mm;EEUEBLA221S;
220mkF 16V +105C (Samwha-RD);672;6;5;3;2,5;6x11mm;+105C;Samwha  серия RD
220mkF 25V  (Capxon/Samwha RD/SD);297;6;5;3,5;3,2;8x12mm;;Samwha
220mkF 35V +105C (Samwha-RD);213;8;6;4,5;0;8x12mm;+105C;
220mkF 400V +85C (Samwha-HC);15;250;200;0;0;25x40mm;+85C;Samwha
220mkF 450V +85C (Samwha-HC);18;300;250;0;0;25x40mm;+85C;
220mkF 500V +85C (Samwha-HC);2;350;450;0;0;30*45mm;;
22mkF  25V +105C (Samwha-RD);383;5;4;2,5;1,85;5x11mm;+105C;Samwha  серия RD
22mkF  50V  +105C (Samwha-RD);40;5;4;2,5;1,85;5x11mm;+105C;  серия RD
22mkF  50V +105C (Chengxing) опт;2000;0;0;1;0,3;5x11mm;;
22mkF  50V +105C (YAGEO);10000;0;0;1;0,5;5x11mm;+105C;
22mkF  63V +105C (Samwha-RD);428;5;4;2,5;1,85;5x11mm;+105C;Jamicon  серия TKR
22mkF 100V +105C;1657;5;4;2,5;1,85;6x11mm;+105C;Jamicon  серия TKR
22mkF 160V +105C;75;6;5;3,5;0;10x16mm;+105C;Jamicon  серия TKR
22mkF 250V +85C;44;10;8;6;0;10x20mm;+85C;  Jamicon, Samwha-GS
22mkF 400V +105C (Samwha-RD);79;40;35;30;0;13x26mm;+85C;
22mkF 450V +105C (Samwha-RD);14;50;40;35;0;16x25mm;+105C;
33000mkF 16V +85С (Jamicon-HS/Samwha-HC);55;250;200;0;0;30x40mm;+85C;Samwha
33000mkF 63V +85С Samwha-GT;2;1350;0;0;0;51x90mm;+85C;Samwha  серия SM (болты)
3300mkF 16V +105C (Samwha-RD);100;15;12;10;0;13x25mm;;
3300mkF 25V +105C (Samwha-RD);34;50;45;40;0;d16x25mm;;
3300mkF 400V (Epcos B43458-A9338-M) демонтаж;2;750;650;0;0;(62x104mm винты);;
3300mkF 400V +85С  (Vishay) демонтаж;18;750;650;0;0;d62x104mm, SKREW;;
3300mkF 50V +105C (Samwha-RD);55;70;60;50;0;18x35mm;+105C;Samwha  серия RD
3300mkF 63V +105C (Samwha-RD);5;100;85;0;0;18x41mm;;
330mkF 100V +85C (Samwha-SD);58;20;18;0;0;13x25mm;;
330mkF 16V  +105С (Jamicon-TKR);81;4;3;2;0;8x12mm;+105С;Jamicon, Samwha
330mkF 25V +85C (Samwha-SD/RD);68;6;5;4;0;8x11mm;;
330mkF 400V +85C (Samwha-HJ);11;400;350;0;0;30x30mm;+85C;
330mkF 450V +105C (Capxon-HP);9;300;0;0;0;35x47mm;;
330mkF 450V +85C (Samwha-HC/HJ);6;450;400;0;0;30x50mm;+85C;Samwha  Samwha-HC
330mkF 50V +105C (Samwha-RD);13;12;10;8;0;10x21mm;+105C;Samwha  серия RD
330mkF 63V +105C (Samwha-RD);174;12;10;8,5;0;10x20mm;+105C;Samwha  серия RD
33mkF 16V +85C,+105C;1096;5;4;2;1,5;5x11mm;+85C,+105C;YAGIO, Hitano
33mkF 400V +105С (Samwha-RD);105;35;30;25;0;13x26mm;+105С;
33mkF 450V +105C (Samwha-RD);74;50;45;0;0;16x25mm;;
4,7mkF 100V +105С (Jamicon/Samwha);1538;5;4;2,5;1,85;5x11mm;+85C;Jamicon, Samwha  серия SD, TKR
4,7mkF 160V +105С;174;5;4;2,5;0;6x12mm;+105С;Jamicon  серия TKR
4,7mkF 250V  +85C;205;8;6;4;0;8x11mm;+85C;  Samwha
4,7mkF 400V +105C (Samwha-RD);131;12;10;8;0;10x18mm;+105C;
4,7mkF 450V +105C (Samwha-RD);11;15;12;10,5;0;10x16mm;+105C;Samwha  серия RD
4,7mkF 50V  +85C (Samwha-SD);197;3;2,5;1,5;1,3;5x11mm;+85C;
4700mkF 100V +85C (Samwha-HC);9;400;400;0;0;30x50mm;+85C;
4700mkF 16V +105С (Samwha-RD);90;55;50;45;0;16x25mm;+105С;Samwha  серия RD
4700mkF 25V +105С (Samwha-RD);81;60;50;0;0;16x32mm;+105С;
4700mkF 35V +105С (Samwha-RD);59;100;85;0;0;18x35mm;+105С;Jamicon, Samwha  серия TKR, RD
4700mkF 50V (Samwha-SD/RD);49;120;100;0;0;18x45mm;;Samwha  серия RD
4700mkF 63V +85C (Samwha-SD/RD);21;150;120;0;0;(30x40mm);;
470mkF 100V +105C (Samwha-RD);12;60;50;40;0;16x25mm;;
470mkF 160V +85C;17;100;85;0;0;22x40mm;;
470mkF 16V +105С (Samwha-RD);223;10;8;5,5;0;8x12mm;+105С;Samwha  серия RD
470mkF 200V +85C (Hitano );31;100;85;0;0;25x30mm;(EETUQ2E471CA);
470mkF 25V +105C (Samwha-RD);109;10;8;6,5;0;10x12mm;+105С;Samwha  серия RD
470mkF 35V +105C (Samwha-RD);244;15;12;9;0;10x16mm;+105C;
470mkF 400V +105C (Panasonic);27;300;250;0;0;35x35mm;;
470mkF 400V +105С (Nippon KMQ);229;300;250;230;0;35х35mm;+105С;
470mkF 450V +105С (Kendeil/SuperTech);41;350;300;0;0;35x55mm;;
470mkF 50V +105С (Samwha-RD);54;25;20;16;0;10x20mm;+105С;Jamicon,Samwha  серия TKR, RD
470mkF 63V +105C (Samwha-RD);134;25;20;18;0;13x20mm;+105C;
470mkF 63V +105C (Teapo) опт-распродажа;300;0;0;6;0;;;
47mkF 100V +105C (Samwha-RD);366;8;6;4,5;0;10x13mm;+105C;
47mkF 16V  +105C (Samwha-RD);659;5;4;2,5;1,85;5x11mm;+105С;Samwha  серия RD
47mkF 250V  (Samwha-RD);8;25;20;16;0;12x25mm;+105С;Samwha  серия RD
47mkF 25V  +105C (Samwha-RD);126;5;4;2,5;1,85;5x11mm;+105C;Samwha  серия RD
47mkF 25V +105C (Panasonic EEUEB1E570S) 5000h;1000;5;4;2,5;1,85;5x11mm;+105C;
47mkF 35V +105C (Samwha-RD);308;5;4;2,5;1,85;5x11mm;+105С;
47mkF 400V +105С (Samwha-RD);4;60;55;50;0;16x31mm;+105С;Samwha  серия RD
47mkf 450v +105С (Jamicon-HS);9;70;60;0;0;22x25mm;;
47mkF 50V  +105C (Chenxing);1998;0;0;0;0,3;5x11mm;+105C;
47mkF 50V +105C (Samwha-RD);54;5;4;3;2,5;6x12mm;+105С;
47mkF 63V +105C (Samwha-RD);385;6;5;3,5;3;6x11mm;+105C;Samwha  серия RD
6800mkF 25V +105C (Samwha-RD);18;90;80;70;0;18x36mm;+105C;Samwha  серия RD
680mkF 25V +105С (Samwha-RD);170;20;18;15;0;10x16mm;+105С;Samwha  серия RD
680mkF 350V +105C (Jamicon-HS);20;400;350;0;0;35x40mm;+105C;
680mkF 400V +85C (Samwha-HJ);2;850;0;0;0;30x50mm;+85C;Samwha
680mkF 450V +85C (Hitachi HP3);2;300;270;0;0;35x48mm;+85C;
680mkF 50V (Samwha-RD);65;30;25;20;0;12,5x20mm;;
68mkF 400V +85C (Samwha-HC);10;130;100;0;0;22x20mm;+85C, +105С;Jamicon, Samwha
68mkF 450V +85C (Samwha-HC);16;150;125;0;0;22x25mm;+85C;Samwha  HC
68mkF 50V +105C (Jamicon-TKR);263;4;3;2;0;8x11mm;;
82mkF 400V +85C (Samwha-HC);7;125;100;0;0;22x30mm;+85C;  Samwha-HC
82mkF 450V +105C (Samwha-HE);10;150;125;0;0;22x30mm;;
SF 1000mkF 350V (CapXon-Foto);5;600;0;0;0;35х47mm;+55С;CapXon  SF (для фотовспышек)
SF 680mkF 350V (Capxon-Foto);4;400;0;0;0;d25x51mm;+55С;CapXon  SF (для фотовспышек)
К50-17 400В 500мкФ (-10/+50%) 89г;38;250;220;0;0;;;
"К50-20в 25В 1000мкФ ""5""";98;40;30;0;0;;;
"К50-20в 25В 2000мкФ ""5""";100;50;40;0;0;d?x??mm;;
"К50-20в 50В 2000мкФ ""5""";48;100;85;0;0;;;
К50-24 100В 220мкФ;34;30;25;0;0;"""5""";;аксиальные
К50-24 16В 10000мкФ;92;40;30;25;0;(+80/-20%);;аксиальные
К50-24 16В 4700мкФ;111;35;30;25;0;;;
К50-24 25В 1000мкФ;326;20;15;13;0;;;аксиальные
К50-24 25В 100мкФ;88;15;12;10;0;;;
К50-24 25В 1500мкФ;201;25;20;15;0;;;
К50-24 25В 2200мкФ;5;30;25;0;0;(+80/-20%);;аксиальные
К50-24 25В 4700мкФ;27;40;30;0;0;;аксиальные;
К50-24 25В 470мкФ;541;20;15;12;0;"""5""";аксиальные;
К50-24(В) 25В 220мкФ;415;20;15;12;0;"""5""";;аксиальные
К50-24/К50-29 100В 100мкФ;20;25;20;0;0;;;
К50-24В 6,3В 10000мкФ;45;40;30;0;0;"""5""";;аксиальные
"К50-24В 6,3В 1000мкФ ""5""";35;25;20;0;0;;;
К50-24В 6,3В 4700мкФ;50;30;25;0;0;"""5""";;аксиальные
К50-27 450В 47мкФ;215;30;25;20;0;;;
К50-27В 350В 22мкФ;145;30;25;20;0;;;
К50-27в 350В 47мкФ;8;30;25;0;0;;;
К50-29(В) 16В 220мкФ;19;15;12;10;0;;;
К50-29В 160В 47мкФ;122;30;25;20;0;;аксиальные;
К50-29В 16В 1000мкФ;72;25;20;17;0;;;
К50-29В 16В 2200мкФ;47;40;30;0;0;;;
"К50-29В 16В 470мкФ ""5""";24;0;0;0;0;;;
К50-29В 16В 47мкФ;75;15;12;10;0;;;
К50-29В 300В 10мкФ;1;20;15;0;0;;;
К50-29В 300В 47мкФ;17;30;25;0;0;"""5""";;аксиальные
К50-29В 450В 2,2мкФ;81;15;12;10;0;;аксиальные;
"К50-29В 6,3В 2200мкФ ""5""";55;0;0;0;0;;;
К50-29В 6,3В 4700мкФ;63;30;25;20;0;;аксиальные;
К50-29В 63В 470мкФ;1;30;25;0;0;;;аксиальные
К50-33А 6,3В 6800мкФ;15;50;40;0;0;;;
К50-77 400В 3300мкФ (06-07г);1;850;0;0;0;65x140(105)mm;+85C;
